nom;lat;lon
11420;43.055979951;2.339222989
11425;43.271643489;2.347013131
11426;43.293353743;2.436896162
11427;43.055942341;2.092016241
11429;43.249605454;2.366056227
11431;42.958549152;2.769716259
11433;43.329414861;2.468555667
11436;43.018171692;2.857688801
11437;43.233017455;2.230204264
11438;43.227987121;2.08943727
11441;43.205491567;3.095655283
30003;43.550541316;4.184188614
30004;43.734369424;4.191106098
30006;43.671856649;4.203894749
30012;43.904355826;4.683236609
30014;43.999630319;4.364829501
30018;43.807058464;4.039019771
30019;43.749532227;4.145907728
30020;43.75155312;4.317357669
30028;44.162820271;4.624648799
30029;44.312383435;4.34874559
30030;44.055450653;4.274679433
30032;43.779737256;4.593839351
30033;43.695988705;4.3224648420000005
30034;43.751639943;4.49586055
30039;43.874648764;4.500537198
30041;43.966650556;4.374939814
30046;43.994309352;4.178506857
30047;43.801798741;4.434616998
30049;43.977704279;4.334601811
30050;43.918939116;4.04578788
30053;43.996009175;4.213269295
30054;43.863206268;3.983808423
30055;44.132910244;4.251524564
30057;43.908031691;4.466753514
30059;43.65833008;4.242814281
30060;43.792289996;4.39529662
30061;43.925623034;4.26352318
30062;43.787883495;4.188906389
30065;43.979256575;4.048274419
30066;43.911501531;4.085133442
30068;44.014972736;4.088802688
30070;44.230186879;4.585328716
30071;44.019630142;4.126769676
30072;44.00940389;4.244370658
30076;44.117360993;4.517853197
30081;44.154185002;4.687991986
30083;43.723272763;4.22759532
30085;43.949230408;4.471975104
30086;44.016204617;4.287048729
30089;43.848416142;4.5930138970000005
30091;43.775615877;4.158369413
30095;43.872422276;3.940306336
30096;44.218979089;4.494453141
30098;43.88383814;4.110119577
30100;44.011943635;4.193111484
30103;43.937626385;4.656381874
30104;43.973778638;4.165436669
30106;43.985584781;3.953704953
30111;44.035804337;4.299229636
30112;43.907052832;4.180646289
30114;43.831736849;4.093843416
30116;43.933087695;4.603951433
30121;43.847688303;4.028462931
30122;43.898340919;4.225775108
30124;44.3127547;4.465397244
30125;43.771631979;4.438417158
30127;44.075823261;4.57148391
30128;43.72381651;4.359105675
30131;44.208747242;4.439283432
30133;43.507288206;4.166392411
30135;43.828157602;4.557698025
