;Year;Municipality;Yield;Huglin_Index;Hot_D;Very_Hot_D;Sever_Heat;Frost_D;Late_Frost;Sever_Frost;Climatic_Dryness_Index;Soil_Water_Stock;Soil_pH;cluster
2826;2011;11198;65,95997498;2189,0075;14;1;0;10;0;0;-166,2753471;80,94908798;8,236856558;1
2827;2011;11426;74,02942943;2189,0075;14;1;0;10;0;0;-166,2753471;73,40830669;8,07764909;1
2828;2011;11025;67,76666667;2189,0075;14;1;0;10;0;0;-166,2753471;81,80151829;8,190622995;1
2829;2012;11215;65,23486867;2074,008;24;3;0,3;20;0;0;-152,7623432;87,88791618;8,017074513;1
2830;2012;11025;60,76431351;2074,008;24;3;0,3;20;0;0;-152,7623432;81,80151829;8,190622995;1
2831;2012;11198;57,05648629;2074,008;24;3;0,3;20;0;0;-152,7623432;80,94908798;8,236856558;1
2832;2012;11426;77,05670103;2074,008;24;3;0,3;20;0;0;-152,7623432;73,40830669;8,07764909;1
2833;2013;11025;59,91189427;1875,836;19;0;0;19;0;0;-77,69067871;81,80151829;8,190622995;1
2834;2013;11426;59,59433127;1875,836;19;0;0;19;0;0;-77,69067871;73,40830669;8,07764909;1
2835;2013;11198;52,19526521;1875,836;19;0;0;19;0;0;-77,69067871;80,94908798;8,236856558;1
2836;2013;11215;73,36729713;1875,836;19;0;0;19;0;0;-77,69067871;87,88791618;8,017074513;1
2837;2014;11215;70,43986254;1990,99;5;0;0;4;0;0;-73,33079032;87,88791618;8,017074513;1
2838;2014;11025;52,60322855;1990,99;5;0;0;4;0;0;-73,33079032;81,80151829;8,190622995;1
2839;2014;11426;67,33731853;1990,99;5;0;0;4;0;0;-73,33079032;73,40830669;8,07764909;1
2840;2014;11198;57,35652174;1990,99;5;0;0;4;0;0;-73,33079032;80,94908798;8,236856558;1
2841;2015;11426;64,67542297;2167,7895;27;0;0,7;12;0;0;-218,8361699;73,40830669;8,07764909;1
2842;2015;11198;53,75736855;2167,7895;27;0;0,7;12;0;0;-218,8361699;80,94908798;8,236856558;1
2843;2015;11025;52,46049046;2167,7895;27;0;0,7;12;0;0;-218,8361699;81,80151829;8,190622995;1
2844;2015;11215;71,84158744;2167,7895;27;0;0,7;12;0;0;-218,8361699;87,88791618;8,017074513;1
2845;2016;11025;40,15061728;2071,742;22;0;0;8;0;0;-197,5722004;81,80151829;8,190622995;1
2846;2016;11215;75,79260381;2071,742;22;0;0;8;0;0;-197,5722004;87,88791618;8,017074513;1
2847;2016;11426;63,80564103;2071,742;22;0;0;8;0;0;-197,5722004;73,40830669;8,07764909;1
2848;2016;11198;46,42108443;2071,742;22;0;0;8;0;0;-197,5722004;80,94908798;8,236856558;1
2849;2017;11426;39,38253012;2113,663;21;0;0;16;0;0;-204,6805295;73,40830669;8,07764909;1
