Unnamed: 0;Municipality;nom_commune;code_departement;cluster;nom_region;latitude;longitude;EC_Earth_precipitation_total;HadGEM3_precipitation_total;MPI-ESM1_precipitation_total;UKESM1_precipitation_total;IPSL_precipitation_total;precipitation_total;EC_Earth_tmax;HadGEM3_tmax;MPI-ESM1_tmax;UKESM1_tmax_mean;IPSL_tmax_mean;tmax_mean;EC_Earth_tmoy;HadGEM3_tmoy;MPI-ESM1_tmoy;UKESM1_tmoy;IPSL_tmoy;temp_moyenne;EC_Earth_tmin;HadGEM3_tmin;MPI-ESM1_tmin;UKESM1_tmin;IPSL_tmin;tmin_mean;amplitude_thermique
#;;a;;;;;;mm;mm;mm;mm;mm;mm;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
;30255;st genies de malgoires;30;7;occitanie;43,9463539;4,2124376;792;775;756;744;734;756;20,766668;21,258333;20,15;21,699999;20,541666;20,766668;15,7791675;16,15;15,1999995;16,4791665;15,5333325;15,7791675;10,791667;11,041667;10,249999;11,258334;10,524999;10,791667;9,975001
;34256;st genies des mourgues;34;7;occitanie;43,6973724;4,0376668;715;707;683;675;664;683;21,050001;21,516668;20,483335;21,933332;20,824999;21,050001;16,2083335;16,562501;15,6750015;16,899999;15,9791665;16,2083335;11,366666;11,608334;10,866668;11,866666;11,133334;11,366666;9,683335
;66175;st genis des fontaines;66;2;occitanie;42,5496597;2,9199231;571;574;545;544;537;545;21,233332;21,766665;20,691668;22,083334;21,074999;21,233332;16,6583325;16,995832;16,116668;17,3166665;16,4791655;16,6583325;12,083333;12,224999;11,541668;12,549999;11,883332;12,083333;9,149999
;34259;st georges d orques;34;4;occitanie;43,616806;3,7739956;678;672;648;641;632;648;20,866667;21,35;20,35;21,741667;20,650002;20,866667;16,3083335;16,6624995;15,804167;17,0000005;16,0916675;16,3083335;11,75;11,974999;11,258334;12,258334;11,533333;11,75;9,116667
;30256;st gervais;30;7;occitanie;44,1952057;4,5793052;869;848;830;813;807;830;20,466665;21,050001;19,841667;21,508333;20,283333;20,466665;15,4749995;15,937501;14,9000005;16,2541665;15,270833;15,4749995;10,483334;10,825001;9,958334;11;10,258333;10,483334;9,983331
;30258;st gilles;30;6;occitanie;43,6578064;4,4074268;742;739;714;702;687;714;21,375;21,775;20,8;22,15833;21,124998;21,375;16,7000005;17,029167;16,154167;17,3499985;16,433332;16,7000005;12,025001;12,283334;11,508334;12,541667;11,741666;12,025001;9,349999
;11344;st hilaire;11;1;occitanie;43,0786743;2,3384914;825;812;790;788;783;790;18,091667;18,708334;17,558334;19,091665;17,983334;18,091667;13,845834;14,233333;13,3083335;14,599999;13,7416665;13,845834;9,600001;9,758332;9,058333;10,108333;9,499999;9,600001;8,491666
;30260;st hilaire d ozilhan;30;5;occitanie;43,9726334;4,5998297;845;836;814;797;785;814;20,699999;21,183332;20,083334;21,625;20,483334;20,699999;15,704166;16,0791665;15,1208335;16,4125005;15,4583335;15,704166;10,708333;10,975001;10,158333;11,200001;10,433333;10,708333;9,991666
;30259;st hilaire de brethmas;30;5;occitanie;44,0921059;4,1231804;785;761;744;733;728;744;20,341667;20,9;19,741667;21,366667;20,175001;20,341667;15,441667;15,8583335;14,870834;16,204167;15,241667;15,441667;10,541667;10,816667;10,000001;11,041667;10,308333;10,541667;9,8
;30263;st hippolyte du fort;30;4;occitanie;43,9535217;3,8527367;750;731;713;702;697;713;19,791666;20,275;19,166668;20,733334;19,575;19,791666;15,058333;15,429167;14,479167;15,7708335;14,8375;15,058333;10,325;10,583334;9,791666;10,808333;10,1;10,325;9,466666
;30265;st jean de crieulon;30;5;occitanie;43,9665298;3,998379;754;734;719;707;700;719;20,125002;20,65;19,525;21,1;19,941668;20,125002;15,3333345;15,7208335;14,758334;16,0625005;15,1125005;15,3333345;10,541667;10,791667;9,991668;11,025001;10,283333;10,541667;9,583335
;34267;st jean de fos;34;3;occitanie;43,6940842;3,5464272;650;637;619;611;605;619;20,691668;21,20833;20,158333;21,65;20,516666;20,691668;16,19166825;16,566665;15,6791665;16,925;16,004167;16,19166825;11,6916685;11,925;11,2;12,2;11,491668;11,6916685;8,9999995
;34268;st jean de la blaquiere;34;2;occitanie;43,7099075;3,430383;720;707;686;679;675;686;18,908333;19,433334;18,35;19,866667;18,708334;18,908333;14,691666;15,0708335;14,158333;15,4125;14,483334;14,691666;10,474999;10,708333;9,966666;10,958333;10,258334;10,474999;8,433334
;30266;st jean de maruejols et avejan;30;7;occitanie;44,2673225;4,2998233;845;817;803;785;782;803;19,983334;20,600002;19,341665;21,074999;19,841667;19,983334;14,954167;15,425001;14,362499;15,758333;14,783333;14,954167;9,925;10,25;9,383333;10,441667;9,724999;9,925;10,058334
;34269;st jean de minervois;34;2;occitanie;43,4001579;2,8176711;707;710;680;681;673;681;18,783333;19,383333;18,25;19,783333;18,625;18,783333;14,5749995;14,9583335;14,0541665;15,3291665;14,4249995;14,5749995;10,366666;10,533334;9,858333;10,875;10,224999;10,366666;8,416667
;30267;st jean de serres;30;7;occitanie;43,9894142;4,0763774;761;741;726;713;705;726;20,541666;21,050001;19,958334;21,508333;20,341667;20,541666;15,5749995;15,9666675;15,016667;16,295833;15,358333;15,5749995;10,608333;10,883334;10,075;11,083333;10,374999;10,608333;9,933333
;34270;st jean de vedas;34;5;occitanie;43,5720215;3,8323562;664;659;635;631;618;635;21,166666;21,641665;20,641668;22,025002;20,950003;21,166666;16,5708325;16,9249985;16,075001;17,2583335;16,3541685;16,5708325;11,974999;12,208332;11,508334;12,491665;11,758334;11,974999;9,191667
;66177;st jean lasseille;66;6;occitanie;42,5858498;2,8646495;590;588;560;561;552;561;21,258335;21,783333;20,708334;22,125;21,1;21,258335;16,5750005;16,891667;16,016667;17,2333335;16,3874995;16,5750005;11,891666;12,000001;11,325;12,341667;11,674999;11,891666;9,366669
;66178;st jean pla de corts;66;2;occitanie;42,5154686;2,7946546;616;613;584;585;574;585;20,800001;21,308332;20,241667;21,658333;20,625;20,800001;16,2416675;16,558333;15,6833335;16,8958335;16,0416665;16,2416675;11,683334;11,808334;11,125;12,133334;11,458333;11,683334;9,116667
;30273;st julien de peyrolas;30;7;occitanie;44,2831573;4,5679703;898;874;857;840;833;857;19,991667;20,633333;19,375;21,1;19,866667;19,991667;15,045833;15,533333;14,475;15,8625;14,883334;15,045833;10,099999;10,433333;9,575;10,625;9,900001;10,099999;9,891668
;30275;st just et vacquieres;30;5;occitanie;44,1004028;4,2358413;840;814;799;785;776;799;19,85;20,391666;19,241667;20,858334;19,666666;19,85;14,9375005;15,3624995;14,3708335;15,695834;14,7416665;14,9375005;10,025001;10,333333;9,5;10,533334;9,816667;10,025001;9,824999
;30277;st laurent de carnols;30;7;occitanie;44,2256927;4,5318117;905;879;860;843;836;860;19,741667;20,35;19,1;20,833334;19,583334;19,741667;14,9125;15,3875;14,3291665;15,716667;14,729167;14,9125;10,083333;10,425;9,558333;10,6;9,875;10,083333;9,658334
;11351;st laurent de la cabrerisse;11;3;occitanie;43,0833969;2,7140377;652;660;627;627;621;627;19,949999;20,541666;19,408333;20,891666;19,808332;19,949999;15,6708325;16,0333335;15,1458325;16,3958335;15,533333;15,6708325;11,391666;11,525001;10,883332;11,900001;11,258334;11,391666;8,558333
;30279;st laurent la vernede;30;7;occitanie;44,1113586;4,4614291;892;871;851;836;826;851;19,783333;20,324999;19,158335;20,766665;19,6;19,783333;14,908333;15,3374995;14,325001;15,6499995;14,7;14,908333;10,033333;10,35;9,491667;10,533334;9,8;10,033333;9,75
;30281;st mamert du gard;30;7;occitanie;43,8832092;4,1733856;794;778;758;746;736;758;20,391668;20,85;19,783335;21,266665;20,141668;20,391668;15,5916665;15,9416665;15,0125005;16,274999;15,3291675;15,5916665;10,791665;11,033333;10,241666;11,283333;10,516667;10,791665;9,600003
;11353;st marcel sur aude;11;6;occitanie;43,2512779;2,9243054;602;605;579;580;574;580;20,941666;21,516665;20,4;21,875;20,766666;20,941666;16,4083325;16,7749995;15,883333;17,133333;16,2458325;16,4083325;11,874999;12,033334;11,366666;12,391666;11,724999;11,874999;9,066667
;66184;st martin de fenouillet;66;2;occitanie;42,7848969;2,4784799;761;748;722;724;715;724;18,316668;18,875;17,741667;19,233335;18,2;18,316668;14,0375;14,3875;13,4708335;14,729167;13,9041665;14,0375;9,758332;9,9;9,2;10,224999;9,608333;9,758332;8,558336
;34274;st martin de londres;34;4;occitanie;43,7926407;3,7079682;716;700;683;674;667;683;19,383333;19,883331;18,833334;20,324999;19,183332;19,383333;15,0875;15,4458325;14,55;15,8;14,8749995;15,0875;10,791667;11,008334;10,266666;11,275001;10,566667;10,791667;8,591666
;11355;st martin de villereglan;11;1;occitanie;43,1038666;2,2112057;771;761;740;739;733;740;19,275;19,883333;18,725;20,275;19,141666;19,275;14,741667;15,1249995;14,2041665;15,504167;14,6208325;14,741667;10,208334;10,366666;9,683333;10,733334;10,099999;10,208334;9,066666
;34276;st mathieu de treviers;34;4;occitanie;43,7696838;3,8701158;720;708;688;679;670;688;20,20833;20,708334;19,65;21,133333;20;20,20833;15,670832;16,045834;15,145833;16,3750005;15,441666;15,670832;11,133334;11,383334;10,641666;11,616668;10,883332;11,133334;9,074996
;30285;st maurice de cazevieille;30;5;occitanie;44,0349655;4,242394;814;793;773;760;753;773;20,458332;20,975;19,841667;21,416666;20,250002;20,458332;15,454166;15,854167;14,8750005;16,183333;15,2375005;15,454166;10,45;10,733334;9,908334;10,95;10,224999;10,45;10,008332
;30286;st maximin;30;5;occitanie;43,9881401;4,4559422;831;817;796;783;772;796;20,708334;21,216667;20,083334;21,633333;20,491667;20,708334;15,7666675;16,15;15,1875005;16,475;15,525;15,7666675;10,825001;11,083333;10,291667;11,316667;10,558333;10,825001;9,883333
;30289;st nazaire des gardies;30;5;occitanie;43,9805069;4,0156884;752;734;719;705;699;719;20,416666;20,941666;19,808332;21,400002;20,225;20,416666;15,504166;15,904167;14,9333325;16,245834;15,2874995;15,504166;10,591666;10,866668;10,058333;11,091666;10,349999;10,591666;9,825
;34281;st pargoire;34;3;occitanie;43,5314941;3,543561;664;660;635;633;622;635;20,416666;20,908335;19,9;21,316668;20,225;20,416666;16,0708325;16,4208345;15,566667;16,7708335;15,8625;16,0708325;11,724999;11,933334;11,233334;12,224999;11,5;11,724999;8,691667
;66187;st paul de fenouillet;66;3;occitanie;42,8207016;2,507417;714;706;677;679;673;679;19,241669;19,808332;18,683332;20,166666;19,116667;19,241669;14,870835;15,2249985;14,324999;15,5749995;14,7375005;14,870835;10,500001;10,641665;9,966666;10,983333;10,358334;10,500001;8,741668
;30355;st paul les fonts;30;5;occitanie;44,0761452;4,6167216;879;861;840;824;814;840;20,333334;20,849998;19,708334;21,308332;20,125;20,333334;15,329167;15,7291655;14,733333;16,066666;15,0958335;15,329167;10,325;10,608333;9,758332;10,825;10,066667;10,325;10,008334
