Unnamed: 0;Municipality;nom_commune;code_departement;cluster;nom_region;latitude;longitude;EC_Earth_precipitation_total;HadGEM3_precipitation_total;MPI-ESM1_precipitation_total;UKESM1_precipitation_total;IPSL_precipitation_total;precipitation_total;EC_Earth_tmax;HadGEM3_tmax;MPI-ESM1_tmax;UKESM1_tmax_mean;IPSL_tmax_mean;tmax_mean;EC_Earth_tmoy;HadGEM3_tmoy;MPI-ESM1_tmoy;UKESM1_tmoy;IPSL_tmoy;temp_moyenne;EC_Earth_tmin;HadGEM3_tmin;MPI-ESM1_tmin;UKESM1_tmin;IPSL_tmin;tmin_mean;amplitude_thermique
#;;a;;;;;;mm;mm;mm;mm;mm;mm;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
;30138;langlade;30;5;occitanie;43,8044968;4,2557297;788;724;758;736;727;736;21,083334;21,975;20,374998;21,983335;20,374998;21,083334;16,3041665;16,9458335;15,6124985;16,9916675;15,8208325;16,3041665;11,524999;11,916667;10,849999;12;11,266667;11,524999;9,558335
;34127;lansargues;34;6;occitanie;43,6369553;4,0828795;696;642;673;651;644;651;21,566666;22,458334;20,9;22,458334;20,9;21,566666;16,62916725;17,295833;15,9875005;17,3375005;16,1874995;16,62916725;11,6916685;12,133332;11,075001;12,216667;11,474999;11,6916685;9,8749975
;34128;laroque;34;4;occitanie;43,9257507;3,7337928;713;654;689;661;657;661;19,550001;20,566666;18,874998;20,583332;18,874998;19,550001;15,1041675;15,8125;14,454166;15,862499;14,6749985;15,1041675;10,658334;11,058334;10,033334;11,141666;10,474999;10,658334;8,891667
;34129;lattes;34;6;occitanie;43,5635338;3,902144;661;609;643;619;613;619;21,341667;22,258331;20,725;22,25;20,725;21,341667;16,7749995;17,458332;16,179166;17,495834;16,3791665;16,7749995;12,208332;12,658333;11,633332;12,741668;12,033333;12,208332;9,133335
;30141;laudun l ardoise;30;5;occitanie;44,1028557;4,6636457;853;786;817;801;792;801;20,925;21,958334;20,183332;21,958334;20,183332;20,925;15,8625;16,5916665;15,133333;16,6250005;15,3749995;15,8625;10,8;11,224999;10,083334;11,291667;10,566667;10,8;10,125
;11197;lauraguel;11;1;occitanie;43,0966797;2,1694846;760;701;731;716;709;716;19,758333;20,9;19,183334;20,791666;19,183334;19,758333;15,0708335;15,8;14,466667;15,829166;14,75;15,0708335;10,383334;10,7;9,75;10,866666;10,316666;10,383334;9,374999
;11198;laure minervois;11;1;occitanie;43,2713585;2,5101085;667;621;650;635;627;635;20,266666;21,375;19,683332;21,283333;19,683332;20,266666;15,75;16,4708335;15,1583325;16,508333;15,441666;15,75;11,233334;11,566667;10,633333;11,733333;11,2;11,233334;9,033332
;34130;laurens;34;2;occitanie;43,522316;3,1997814;636;589;621;599;595;599;20,033335;21,066666;19,433332;21,041668;19,433332;20,033335;15,783334;16,4958325;15,1833325;16,5541675;15,4291655;15,783334;11,533333;11,924999;10,933333;12,066667;11,424999;11,533333;8,500002
;34131;lauret;34;4;occitanie;43,8311539;3,8814199;727;666;701;676;669;676;20,433332;21,383331;19,749998;21,391668;19,749998;20,433332;15,762499;16,433332;15,099999;16,47916825;15,316666;15,762499;11,091666;11,483333;10,45;11,5666685;10,883334;11,091666;9,341666
;30143;laval st roman;30;7;occitanie;44,3005219;4,5046587;909;832;867;850;840;850;19,6;20,766666;18,875;20,775;18,875;19,6;14,8291665;15,6208325;14,1333335;15,6666665;14,391667;14,8291665;10,058333;10,474999;9,391667;10,558333;9,908334;10,058333;9,541667
;34134;laverune;34;5;occitanie;43,5849495;3,8021119;671;618;652;627;619;627;21,25;22,199999;20,625;22,175001;20,625;21,25;16,666666;17,358333;16,0541665;17,3875;16,266667;16,666666;12,083332;12,516667;11,483333;12,599999;11,908334;12,083332;9,166668
;34036;le bosc;34;2;occitanie;43,6959801;3,387224;647;597;627;605;600;605;20,258333;21,283333;19,616667;21,266666;19,616667;20,258333;15,866667;16,5833335;15,254167;16,633333;15,4791665;15,866667;11,475001;11,883334;10,891667;12;11,341666;11,475001;8,783332
;30059;le cailar;30;6;occitanie;43,658329;4,2428141;719;665;698;672;666;672;21,70833;22,583334;21,033335;22,566668;21,033335;21,70833;16,7708315;17,441667;16,120834;17,4583345;16,320834;16,7708315;11,833333;12,3;11,208333;12,350001;11,608333;11,833333;9,874997
;30133;le grau du roi;30;6;occitanie;43,5072899;4,1663923;682;630;663;640;633;640;21;21,858335;20,366667;21,858332;20,366667;21;16,841667;17,504168;16,216667;17,5416655;16,4124995;16,841667;12,683334;13,150001;12,066667;13,224999;12,458332;12,683334;8,316666
;34210;le pouget;34;3;occitanie;43,5928802;3,516916;636;586;618;598;589;598;21,025;22,033333;20,400002;22,008333;20,400002;21,025;16,4791665;17,183333;15,8708345;17,233333;16,091668;16,4791665;11,933333;12,333333;11,341667;12,458333;11,783334;11,933333;9,091667
;34211;le poujol sur orb;34;2;occitanie;43,5827103;3,0551913;728;677;714;691;684;691;18,208332;19,275;17,575;19,241667;17,575;18,208332;14,233332;14,9541665;13,6166665;15,008334;13,8708335;14,233332;10,258332;10,633333;9,658333;10,775001;10,166667;10,258332;7,95
;66195;le soler;66;6;occitanie;42,6775436;2,7950139;580;519;557;541;528;541;21,391668;22,441666;20,800001;22,333334;20,800001;21,391668;16,8625005;17,55;16,2416675;17,5624995;16,491667;16,8625005;12,333333;12,658334;11,683334;12,791665;12,183333;12,333333;9,058335
;30145;ledenon;30;5;occitanie;43,9085655;4,5156536;818;755;786;767;759;767;21,383333;22,275;20,633333;22,283335;20,633333;21,383333;16,35;16,9875;15,6124995;17,0250005;15,8375;16,35;11,316667;11,7;10,591666;11,766666;11,041667;11,316667;10,066666
;30146;ledignan;30;7;occitanie;43,985817;4,108274;772;709;742;719;711;719;20,741667;21,733332;20,025;21,725;20,025;20,741667;15,7375005;16,4291655;15,0416665;16,4750005;15,2750005;15,7375005;10,733334;11,124999;10,058333;11,225001;10,525001;10,733334;10,008333
;30197;les plans;30;5;occitanie;44,1405182;4,2123408;825;753;788;765;757;765;20,191668;21,241667;19,483334;21,283335;19,483334;20,191668;15,195834;15,925;14,5000005;15,9916675;14,7458335;15,195834;10,2;10,608333;9,516667;10,7;10,008333;10,2;9,991668
;34135;lespignan;34;6;occitanie;43,2733192;3,1699905;587;542;572;555;547;555;21,025;22,091667;20,466667;22,008331;20,466667;21,025;16,7375;17,4750005;16,1749995;17,512499;16,4125005;16,7375;12,45;12,858334;11,883332;13,016667;12,358334;12,45;8,575
;11201;leuc;11;1;occitanie;43,1413689;2,3392758;747;693;725;709;698;709;19,325;20,466667;18,733334;20,349998;18,733334;19,325;14,9416665;15,6666665;14,329167;15,704166;14,625;14,9416665;10,558333;10,866666;9,925;11,058334;10,516666;10,558333;8,766667
;11202;leucate;11;6;occitanie;42,8995781;3,0259478;557;509;543;526;516;526;20,666668;21,716667;20,091665;21,616669;20,091665;20,666668;16,808334;17,5083335;16,204166;17,5333345;16,458333;16,808334;12,95;13,3;12,316667;13,45;12,825001;12,95;7,716668
;30147;lezan;30;7;occitanie;44,0123596;4,0513878;759;695;728;705;697;705;20,65833;21,683334;19,966665;21,683332;19,966665;20,65833;15,662499;16,375;14,983333;16,412499;15,2124995;15,662499;10,666668;11,066666;10,000001;11,141666;10,458334;10,666668;9,991662
;11203;lezignan corbieres;11;6;occitanie;43,2040596;2,7620304;613;569;597;583;574;583;20,841667;21,958334;20,25;21,858332;20,25;20,841667;16,375;17,0958335;15,7625005;17,1333325;16,0375005;16,375;11,908333;12,233333;11,275001;12,408333;11,825001;11,908333;8,933334
