Unnamed: 0;Municipality;nom_commune;code_departement;cluster;nom_region;latitude;longitude;EC_Earth_precipitation_total;HadGEM3_precipitation_total;MPI-ESM1_precipitation_total;UKESM1_precipitation_total;IPSL_precipitation_total;precipitation_total_avril_septembre;EC_Earth_tmax;HadGEM3_tmax;MPI-ESM1_tmax;UKESM1_tmax_mean;IPSL_tmax_mean;tmax_mean;EC_Earth_tmoy;HadGEM3_tmoy;MPI-ESM1_tmoy;UKESM1_tmoy;IPSL_tmoy;temp_moyenne;EC_Earth_tmin;HadGEM3_tmin;MPI-ESM1_tmin;UKESM1_tmin;IPSL_tmin;tmin_mean;amplitude_thermique
#;;a;;;;;;mm;mm;mm;mm;mm;mm;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
;11301;puicheric;11;6;occitanie;43,2291985;2,6125937;270;237;246;232;247;246;26,65;27,766665;26,033333;28,533333;26,849998;26,849998;21,483333;21,8749995;20,774999;22,7666675;21,5583315;21,5583315;16,316666;15,983334;15,516665;17,000002;16,266665;16,266665;10,583333
;34222;puilacher;34;3;occitanie;43,5667686;3,5053351;260;221;229;219;234;229;27,116669;28,050001;26,549997;28,816666;27,233335;27,233335;22,0833345;22,458334;21,424999;23,2583325;22,058334;22,0833345;17,05;16,866667;16,300001;17,699999;16,883333;16,883333;10,350002
;34223;puimisson;34;5;occitanie;43,4378548;3,2081704;259;223;231;220;235;231;26,999998;28,016668;26,433334;28,766668;27,116667;27,116667;21,883332;22,2833345;21,2333335;23,108334;21,875;21,883332;16,766666;16,550001;16,033333;17,45;16,633333;16,633333;10,483334
;34224;puissalicon;34;3;occitanie;43,4540024;3,2376785;257;220;229;218;233;229;27,150002;28,15;26,583334;28,933332;27,283333;27,283333;21,9666675;22,375;21,3083335;23,1916655;21,9749995;21,9749995;16,783333;16,6;16,033333;17,449999;16,666666;16,666666;10,616667
;34225;puisserguier;34;5;occitanie;43,3769341;3,0466349;260;225;235;222;237;235;26,683332;27,699999;26,099998;28,483332;26,816666;26,816666;21,5666655;21,9666655;20,8916655;22,8083325;21,583332;21,583332;16,449999;16,233332;15,683333;17,133333;16,349998;16,349998;10,466668
;30209;pujaut;30;5;occitanie;43,9995651;4,7646837;349;308;312;303;321;312;28,5;29,316666;27,716667;30,083334;28,466667;28,5;22,5999995;22,8916665;21,7416665;23,6416665;22,4083335;22,5999995;16,699999;16,466667;15,766666;17,199999;16,35;16,466667;12,033333
;34226;quarante;34;5;occitanie;43,3508873;2,980629;257;223;233;220;234;233;26,666666;27,716667;26,049997;28,483332;26,799997;26,799997;21,5999995;21,9833335;20,8999985;22,8416655;21,6166645;21,6166645;16,533333;16,25;15,75;17,199999;16,433332;16,433332;10,366665
;30210;quissac;30;4;occitanie;43,9183388;3,9971111;307;264;268;262;280;268;26,566666;27,466667;25,916666;28,300001;26,583334;26,583334;21,358333;21,6666665;20,6;22,466667;21,233334;21,358333;16,15;15,866666;15,283334;16,633333;15,883334;15,883334;10,7
;11307;raissac d aude;11;6;occitanie;43,2286415;2,8775795;242;212;219;209;222;219;27,033333;28,1;26,400002;28,85;27,15;27,15;22,0083325;22,391667;21,283334;23,266667;22,0166665;22,0166665;16,983332;16,683334;16,166666;17,683334;16,883333;16,883333;10,266667
;66158;rasigueres;66;2;occitanie;42,7746544;2,595397;286;247;264;246;259;259;25,699999;26,766665;25,000002;27,433334;25,916666;25,916666;20,8583325;21,2499995;20,0833335;22,058334;20,916667;20,916667;16,016666;15,733334;15,166665;16,683334;15,916668;15,916668;9,999998
