Unnamed: 0;Municipality;nom_commune;code_departement;cluster;nom_region;latitude;longitude;EC_Earth_precipitation_total;HadGEM3_precipitation_total;MPI-ESM1_precipitation_total;UKESM1_precipitation_total;IPSL_precipitation_total;precipitation_total_avril_septembre;EC_Earth_tmax;HadGEM3_tmax;MPI-ESM1_tmax;UKESM1_tmax_mean;IPSL_tmax_mean;tmax_mean;EC_Earth_tmoy;HadGEM3_tmoy;MPI-ESM1_tmoy;UKESM1_tmoy;IPSL_tmoy;temp_moyenne;EC_Earth_tmin;HadGEM3_tmin;MPI-ESM1_tmin;UKESM1_tmin;IPSL_tmin;tmin_mean;amplitude_thermique
#;;a;;;;;;mm;mm;mm;mm;mm;mm;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
;34294;saturargues;34;7;occitanie;43,7144165;4,1174417;297;270;267;250;265;267;27,25;28,083334;26,633333;28,666666;27,35;27,35;21,8499995;22,3083335;21,1833335;22,8499995;21,8250005;21,8499995;16,449999;16,533333;15,733334;17,033333;16,300001;16,449999;10,900001
;34296;saussines;34;7;occitanie;43,7593613;4,0508018;302;272;269;253;266;269;27,016665;27,83333;26,383333;28,416666;27,116667;27,116667;21,6333325;22,074998;20,949999;22,6083335;21,5999995;21,6333325;16,25;16,316666;15,516665;16,800001;16,083332;16,25;10,866667
;34297;sauteyrargues;34;4;occitanie;43,8303032;3,9184868;303;275;271;254;268;271;26,183334;27,033335;25,516665;27,633337;26,300001;26,300001;21,0166675;21,466668;20,333332;22,0250015;21,0000005;21,0166675;15,850001;15,900001;15,149999;16,416666;15,7;15,850001;10,45
;34298;sauvian;34;6;occitanie;43,291256;3,25406;239;214;215;204;214;214;26,733335;27,75;26,116667;28,266668;27,016668;27,016668;21,9166675;22,4749995;21,2833335;23,058333;22,050001;22,050001;17,1;17,199999;16,45;17,849998;17,083334;17,1;9,916668
;30314;savignargues;30;7;occitanie;43,9663086;4,0803246;327;297;291;275;288;291;26,66667;27,583334;26,050001;28,233332;26,833334;26,833334;21,133334;21,608334;20,483334;22,199999;21,158334;21,158334;15,599998;15,633334;14,916667;16,166666;15,483334;15,599998;11,233336
;34299;serignan;34;6;occitanie;43,2729874;3,2971349;237;213;214;203;213;213;26,666666;27,666666;26,066666;28,200003;26,950003;26,950003;21,883333;22,4416665;21,258333;23,033335;22,0083345;22,0083345;17,1;17,216667;16,45;17,866667;17,066666;17,1;9,850003
;30317;sernhac;30;5;occitanie;43,9116135;4,5608449;345;320;310;294;308;310;27,849998;28,616667;27,216667;29,25;27,933332;27,933332;22,149999;22,541667;21,4500005;23,1083325;22,083333;22,149999;16,45;16,466667;15,683334;16,966665;16,233334;16,45;11,483332
;34300;servian;34;5;occitanie;43,414196;3,3069255;252;226;227;214;226;226;26,900002;27,916666;26,300001;28,433334;27,166666;27,166666;21,833334;22,3999995;21,208334;22,950002;21,95;21,95;16,766666;16,883333;16,116667;17,46667;16,733334;16,766666;10,4
;34301;sete;34;6;occitanie;43,3917542;3,6453032;239;214;215;201;213;214;24,983332;25,866667;24,416666;26,416666;25,183332;25,183332;21,6416665;22,166666;21,0249995;22,7249995;21,6999995;21,6999995;18,300001;18,466665;17,633333;19,033333;18,216667;18,300001;6,883331
;11379;sigean;11;6;occitanie;43,0395889;2,9811759;235;208;212;202;210;210;26;27,116667;25,349998;27,6;26,333334;26,333334;21,55;22,1416665;20,8666655;22,725;21,708334;21,708334;17,1;17,166666;16,383333;17,85;17,083334;17,1;9,233334
;34302;siran;34;3;occitanie;43,3301163;2,6632185;282;256;254;247;256;256;26,083334;27,266665;25,483332;27,816666;26,5;26,5;20,8333335;21,458333;20,2083325;22,083333;21,1000005;21,1000005;15,583333;15,650001;14,933333;16,35;15,700001;15,650001;10,849999
;30321;sommieres;30;7;occitanie;43,7755165;4,0825009;302;272;269;253;266;269;27,016665;27,83333;26,383333;28,416666;27,116667;27,116667;21,6333325;22,074998;20,949999;22,6083335;21,5999995;21,6333325;16,25;16,316666;15,516665;16,800001;16,083332;16,25;10,866667
;30324;souvignargues;30;5;occitanie;43,819561;4,1353288;319;290;286;267;282;286;26,683334;27,5;26,066666;28,1;26,800001;26,800001;21,3666675;21,791667;20,6749995;22,333334;21,3333335;21,3666675;16,050001;16,083334;15,283333;16,566668;15,866666;16,050001;10,75
;11332;st andre de roquelongue;11;3;occitanie;43,0928841;2,8490815;258;230;230;222;230;230;25,566666;26,716667;24,883333;27,200003;25,900002;25,900002;20,8916665;21,4833335;20,1999995;22,0750015;21,075001;21,075001;16,216667;16,25;15,516666;16,95;16,25;16,25;9,650002
;34239;st andre de sangonis;34;3;occitanie;43,6504097;3,5035214;268;239;238;225;235;238;26,816668;27,766668;26,233332;28,383333;27,016668;27,016668;21,708334;22,216667;21,0833325;22,799999;21,758334;21,758334;16,6;16,666666;15,933333;17,216665;16,5;16,6;10,416668
;34240;st aunes;34;5;occitanie;43,6351967;3,9668508;281;255;254;236;250;254;27,083334;27,866667;26,466665;28,433332;27,200003;27,200003;21,8083345;22,25;21,1499985;22,791666;21,783335;21,8083345;16,533335;16,633333;15,833332;17,15;16,366667;16,533335;10,666668
;34241;st bauzille de la sylve;34;3;occitanie;43,6105003;3,5587165;276;246;245;233;243;245;26,266665;27,183332;25,683332;27,800001;26,483335;26,483335;21,2916655;21,791666;20,658333;22,3750005;21,358335;21,358335;16,316666;16,4;15,633334;16,95;16,233335;16,316666;10,166669
;34243;st bauzille de putois;34;4;occitanie;43,9004288;3,7595203;317;287;282;266;278;282;25,166666;26,083334;24,533333;26,716667;25,35;25,35;20,1833335;20,6750005;19,5249995;21,2416665;20,233333;20,233333;15,200001;15,266667;14,516666;15,766666;15,116666;15,200001;10,149999
