Unnamed: 0;Municipality;nom_commune;code_departement;cluster;nom_region;latitude;longitude;EC_Earth_precipitation_total;HadGEM3_precipitation_total;MPI-ESM1_precipitation_total;UKESM1_precipitation_total;IPSL_precipitation_total;precipitation_total;EC_Earth_tmax;HadGEM3_tmax;MPI-ESM1_tmax;UKESM1_tmax_mean;IPSL_tmax_mean;tmax_mean;EC_Earth_tmoy;HadGEM3_tmoy;MPI-ESM1_tmoy;UKESM1_tmoy;IPSL_tmoy;temp_moyenne;EC_Earth_tmin;HadGEM3_tmin;MPI-ESM1_tmin;UKESM1_tmin;IPSL_tmin;tmin_mean;amplitude_thermique
#;;a;;;;;;mm;mm;mm;mm;mm;mm;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
;30179;montfrin;30;5;occitanie;43,8751755;4,5919909;789;769;719;740;728;740;22,166666;22,75;21,341667;23,574999;22,108332;22,166666;17,1124995;17,4250005;16,2375005;18,2166665;16,9749995;17,1124995;12,058333;12,100001;11,133334;12,858334;11,841667;12,058333;10,108333
;30181;montmirat;30;5;occitanie;43,9031525;4,1175137;759;731;688;708;700;708;21,133333;21,808332;20,408333;22,633333;21,166666;21,166666;16,3541665;16,720832;15,558333;17,5125;16,2916655;16,3541665;11,575;11,633332;10,708333;12,391667;11,416665;11,575;9,591666
;34170;montouliers;34;3;occitanie;43,3351936;2,9064932;639;620;585;609;602;609;20,591667;21,375002;19,925;22,174997;20,675001;20,675001;16,2458345;16,6375005;15,5000005;17,4624985;16,283334;16,283334;11,900002;11,899999;11,075001;12,75;11,891667;11,899999;8,775002
;34171;montoulieu;34;4;occitanie;43,9187126;3,8020902;744;712;672;691;686;691;20,091665;20,800001;19,366667;21,675001;20,141666;20,141666;15,524999;15,9000005;14,7333335;16,7208335;15,4958335;15,524999;10,958333;11;10,1;11,766666;10,850001;10,958333;9,183333
;34172;montpellier;34;5;occitanie;43,6133537;3,8692641;675;651;616;635;623;635;21,775;22,449999;21,15;23,241669;21,833334;21,833334;17,2;17,591666;16,4999995;18,3708345;17,175;17,2;12,625;12,733333;11,849999;13,5;12,516666;12,625;9,208334
;34173;montpeyroux;34;3;occitanie;43,7113876;3,5026338;750;719;679;699;693;699;19,199999;19,925;18,550001;20,766665;19,275;19,275;15,087499;15,466667;14,350001;16,279166;15,070833;15,087499;10,974999;11,008334;10,150001;11,791667;10,866666;10,974999;8,300001
;30182;montpezat;30;5;occitanie;43,8540459;4,1592746;774;747;701;721;714;721;21,191668;21,85;20,46667;22,674997;21,191668;21,191668;16,416667;16,770833;15,608335;17,5499985;16,316667;16,416667;11,641666;11,691666;10,75;12,425;11,441666;11,641666;9,550002
;11254;montreal;11;1;occitanie;43,2000656;2,1483622;781;752;715;736;731;736;20,016668;20,9;19,358334;21,625;20,199999;20,199999;15,3333345;15,7666665;14,579167;16,5625;15,4499995;15,4499995;10,650001;10,633333;9,8;11,5;10,7;10,650001;9,549998
;11255;montredon des corbieres;11;6;occitanie;43,1814117;2,924417;595;576;543;570;559;570;21,333334;22,108332;20,650002;22,858335;21,441668;21,441668;17,0125;17,404166;16,262501;18,195834;17,062501;17,062501;12,691666;12,7;11,875;13,533333;12,683334;12,691666;8,750002
;11256;montseret;11;6;occitanie;43,1053505;2,8071914;617;595;564;590;577;590;20,975;21,75;20,25;22,491667;21,066668;21,066668;16,675;17,049999;15,8875005;17,8625;16,720834;16,720834;12,375;12,349998;11,525001;13,233333;12,375;12,375;8,691668
;34174;moules et baucels;34;4;occitanie;43,9494629;3,7556765;730;697;660;677;673;677;20,125;20,85;19,433332;21,699999;20,191666;20,191666;15,5749995;15,966666;14,8083325;16,766666;15,5499995;15,5749995;11,024999;11,083332;10,183333;11,833333;10,908333;11,024999;9,166667
;30183;moulezan;30;5;occitanie;43,9254761;4,1296315;786;756;710;732;724;732;20,949999;21,641668;20,216665;22,5;20,991667;20,991667;16,141666;16,516667;15,329166;17,320833;16,0875005;16,141666;11,333333;11,391666;10,441667;12,141666;11,183334;11,333333;9,658334
;30184;moussac;30;7;occitanie;43,9775696;4,2349272;780;752;704;725;719;725;21,416666;22,1;20,65;22,966665;21,433332;21,433332;16,4374995;16,808333;15,6041665;17,6249995;16,3749995;16,4374995;11,458333;11,516666;10,558333;12,283334;11,316667;11,458333;9,974999
