type_mvt;code_couleur;annee;volume;surface;code_cepage;cvi;rendement;commune;rendement_plafonne_RS;rendement_plafonne_RG_BL;Zone;code_departement;departement
DECR;RS;2011;40.0;1.59;;6601623340;25,16;66016;100;0;0;66;Pyrénées-Orientales
DECR;RG;2011;184.0;6.23;;6601623340;29,53;66016;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;131.0;4.1;;6601623340;31,95;66016;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;17.0;0.55;;6601623340;30,91;66016;0;90;0;66;Pyrénées-Orientales
DECR;RG;2011;188.0;4.83;;6605307820;38,92;66053;0;90;0;66;Pyrénées-Orientales
DECR;RS;2011;344.0;18.58;;6605309380;18,51;66053;100;0;0;66;Pyrénées-Orientales
DECR;RG;2011;942.0;51.45;;6605309380;18,31;66053;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;271.0;15.22;;6605309380;17,81;66053;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;242.0;17.48;;6605309380;13,84;66053;0;90;0;66;Pyrénées-Orientales
DECR;RS;2011;40.0;1.03;;6605307820;38,83;66053;100;0;0;66;Pyrénées-Orientales
DECR;BL;2011;44.0;1.77;;6605307820;24,86;66053;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;36.0;1.12;;6605307820;32,14;66053;0;90;0;66;Pyrénées-Orientales
DECR;RS;2011;789.0;19.75;;6604100290;39,95;66041;100;0;3;66;Pyrénées-Orientales
DECR;RS;2011;15.0;0.75;;6605304130;20;66053;100;0;0;66;Pyrénées-Orientales
DECR;BL;2011;19.0;0.58;;6605304130;32,76;66053;0;90;0;66;Pyrénées-Orientales
DECR;RG;2011;420.0;10.84;;6604100290;38,75;66041;0;90;3;66;Pyrénées-Orientales
DECR;BL;2011;170.0;4.26;;6604100290;39,91;66041;0;90;3;66;Pyrénées-Orientales
DECR;RS;2011;25.0;1.52;;6601697180;16,45;66016;100;0;0;66;Pyrénées-Orientales
DECR;RG;2011;281.0;8.58;;6601697180;32,75;66016;0;90;0;66;Pyrénées-Orientales
DECR;RG;2011;10945.0;317.5;;6601613870;34,47;66016;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;134.0;5.94;;6601697180;22,56;66016;0;90;0;66;Pyrénées-Orientales
DECR;RS;2011;4407.0;127.62;;6601613870;34,53;66016;100;0;0;66;Pyrénées-Orientales
DECR;RG;2011;6.0;0.0;;6601623570;;66016;0;90;0;66;Pyrénées-Orientales
REVE;RG;2011;12.0;0.0;;6601622530;;66016;0;90;0;66;Pyrénées-Orientales
REVE;RS;2011;24.0;0.0;;6605303830;;66053;100;0;0;66;Pyrénées-Orientales
REVE;RS;2011;5.0;0.0;;6601622530;;66016;100;0;0;66;Pyrénées-Orientales
REVE;BL;2011;3.0;0.0;;6601623570;;66016;0;90;0;66;Pyrénées-Orientales
REVE;BL;2011;4.0;0.0;;6601623570;;66016;0;90;0;66;Pyrénées-Orientales
REVE;RG;2011;13.0;0.0;;6601623570;;66016;0;90;0;66;Pyrénées-Orientales
REVE;RS;2011;2.0;0.0;;6601623570;;66016;100;0;0;66;Pyrénées-Orientales
REVE;BL;2011;11.0;0.0;;6601697810;;66016;0;90;0;66;Pyrénées-Orientales
REVE;BL;2011;25.0;0.0;;6601697810;;66016;0;90;0;66;Pyrénées-Orientales
REVE;RG;2011;34.0;0.0;;6601697810;;66016;0;90;0;66;Pyrénées-Orientales
REVE;BL;2011;20.0;0.0;;6601622530;;66016;0;90;0;66;Pyrénées-Orientales
REVE;BL;2011;21.0;0.0;;6601697190;;66016;0;90;0;66;Pyrénées-Orientales
REVE;RG;2011;87.0;0.0;;6601616060;;66016;0;90;0;66;Pyrénées-Orientales
REVE;BL;2011;11.0;0.0;;6601616060;;66016;0;90;0;66;Pyrénées-Orientales
REVE;RG;2011;112.0;0.0;;6605303830;;66053;0;90;0;66;Pyrénées-Orientales
REVE;RS;2011;9.0;0.0;;6605303830;;66053;100;0;0;66;Pyrénées-Orientales
REVE;BL;2011;12.0;0.0;;6605303830;;66053;0;90;0;66;Pyrénées-Orientales
REVE;RS;2011;0.0;0.0;;6605302780;;66053;100;0;0;66;Pyrénées-Orientales
REVE;RG;2011;92.0;0.0;;6605302780;;66053;0;90;0;66;Pyrénées-Orientales
REVE;BL;2011;30.0;0.0;;6605302780;;66053;0;90;0;66;Pyrénées-Orientales
REVE;BL;2011;47.5;0.0;GEBL;3405106220;;34051;0;90;5;34;Hérault
REVE;RG;2011;471.0;0.0;CAFR;3413906280;;34139;0;90;5;34;Hérault
REVE;BL;2011;24.0;0.0;SAUV;1126900040;;11269;0;90;6;11;Aude
REVE;RS;2011;508.0;0.0;CINS;3409207910;;34092;100;0;5;34;Hérault
REVE;BL;2011;210.0;0.0;CHAR;3405604620;;34056;0;90;6;34;Hérault
REVE;BL;2011;53.0;0.0;MARS;3430019820;;34300;0;90;5;34;Hérault
REVE;RG;2011;40.0;0.0;MERL;1139400041;;11394;0;90;1;11;Aude
REVE;BL;2011;780.0;0.0;CHAR;1126226250;;11262;0;90;6;11;Aude
REVE;BL;2011;250.0;0.0;CHAR;3413004920;;34130;0;90;2;34;Hérault
REVE;RG;2011;2060.0;0.0;SYRA;3421010000;;34210;0;90;3;34;Hérault
REVE;RG;2011;125.0;0.0;GREGR;3420101930;;34201;0;90;2;34;Hérault
REVE;RG;2011;375.0;0.0;GREGR;1111600191;;11116;0;90;6;11;Aude
REVE;RG;2011;500.0;0.0;MERL;1132800071;;11328;0;90;1;11;Aude
REVE;RG;2011;440.0;0.0;MERL;3005303600;;30053;0;90;7;30;Gard
REVE;RG;2011;295.0;0.0;CASA;3003203520;;30032;0;90;5;30;Gard
REVE;BL;2011;55.0;0.0;SAUV;1122000060;;11220;0;90;6;11;Aude
REVE;RS;2011;355.0;0.0;MERL;3400105680;;34001;100;0;5;34;Hérault
REVE;RS;2011;750.0;0.0;GREN;3400105680;;34001;100;0;5;34;Hérault
REVE;RG;2011;257.0;0.0;PINO;1102203850;;11022;0;90;6;11;Aude
REVE;BL;2011;133.0;0.0;CHAR;3000607860;;30006;0;90;5;30;Gard
REVE;RG;2011;508.0;0.0;SYRA;3430020300;;34300;0;90;5;34;Hérault
REVE;RG;2011;360.0;0.0;SYRA;3430020300;;34300;0;90;5;34;Hérault
REVE;RG;2011;220.0;0.0;CASA;1111600191;;11116;0;90;6;11;Aude
REVE;RG;2011;536.0;0.0;MERL;3009603800;;30096;0;90;7;30;Gard
REVE;RS;2011;780.0;0.0;SYRA;1126226250;;11262;100;0;6;11;Aude
REVE;RG;2011;760.0;0.0;SYRA;3418906630;;34189;0;90;5;34;Hérault
REVE;BL;2011;19.0;0.0;;6601600051;;66016;0;90;0;66;Pyrénées-Orientales
REVE;RG;2011;262.0;0.0;GREN;3420306710;;34203;0;90;6;34;Hérault
REVE;RG;2011;560.0;0.0;CASA;3414806350;;34148;0;90;6;34;Hérault
REVE;BL;2011;500.0;0.0;CHAR;3414806350;;34148;0;90;6;34;Hérault
REVE;RG;2011;395.0;0.0;MERL;3008103720;;30081;0;90;5;30;Gard
REVE;RG;2011;283.0;0.0;GREGR;1126225260;;11262;0;90;6;11;Aude
REVE;BL;2011;532.0;0.0;SAUV;1117213490;;11172;0;90;6;11;Aude
REVE;BL;2011;25.0;0.0;GEBL;1117000290;;11170;0;90;6;11;Aude
REVE;BL;2011;30.0;0.0;CHAR;1116100500;;11161;0;90;1;11;Aude
